"List","DisplayName","InternalName","TargetList","TargetField","Indexed"
"CRM - Action Queue","Organization","OrganizationLookup","CRM - Organizations","Title","True"
"CRM - Action Queue","Engagement","EngagementLookup","CRM - Engagements","Title","True"
"CRM - Action Queue","Contact","ContactLookup","CRM - Contacts","Title","True"
"CRM - Action Queue","Touchpoint","TouchpointLookup","CRM - Touchpoints","Title",""
"CRM - Qualification","Organization","OrganizationLookup","CRM - Organizations","Title","True"
"CRM - Qualification","Contact","ContactLookup","CRM - Contacts","Title",""
"CRM - Qualification","Engagement","EngagementLookup","CRM - Engagements","Title",""
"CRM - Meeting Notes","Organization","OrganizationLookup","CRM - Organizations","Title","True"
"CRM - Meeting Notes","Engagement","EngagementLookup","CRM - Engagements","Title","True"
"CRM - Meeting Notes","Primary Contact","PrimaryContactLookup","CRM - Contacts","Title",""
"CRM - Artifacts","Organization","OrganizationLookup","CRM - Organizations","Title","True"
"CRM - Artifacts","Engagement","EngagementLookup","CRM - Engagements","Title","True"
"CRM - Health Reviews","Organization","OrganizationLookup","CRM - Organizations","Title","True"
"CRM - Health Reviews","Engagement","EngagementLookup","CRM - Engagements","Title","True"
