"List","Role","Exists","ItemCount","Hidden","OnQuickLaunch","DefaultViewUrl","State"
"CRM - New Signals","primary-intake","True","0","False","False","/sites/GuidedAILabs/Lists/CRM  New Signals/New Signal Queue.aspx","Present"
"CRM - Action Queue","workflow","True","1","False","False","/sites/GuidedAILabs/Lists/CRM  Action Queue/Open CRM Actions.aspx","Present"
"CRM - Qualification","workflow","True","1","False","False","/sites/GuidedAILabs/Lists/CRM  Qualification/Qualification Triage.aspx","Present"
"CRM - Meeting Notes","workflow","True","0","False","False","/sites/GuidedAILabs/Lists/CRM  Meeting Notes/Upcoming Meetings.aspx","Present"
"CRM - Artifacts","workflow","True","1","False","False","/sites/GuidedAILabs/Lists/CRM  Artifacts/Active Artifacts.aspx","Present"
"CRM - Health Reviews","workflow","True","0","False","False","/sites/GuidedAILabs/Lists/CRM  Health Reviews/Health Review Queue.aspx","Present"
"CRM - Closeout Invoice Queue","workflow","True","0","False","False","/sites/GuidedAILabs/Lists/CRM  Closeout Invoice Queue/Closeout  Invoice Watch.aspx","Present"
"CRM - Organizations","durable-lookup-target","True","1","False","False","/sites/GuidedAILabs/Lists/CRM  Organizations/Active Organizations.aspx","Present"
"CRM - Contacts","durable-lookup-target","True","1","False","False","/sites/GuidedAILabs/Lists/CRM  Contacts/Active Contacts.aspx","Present"
"CRM - Engagements","durable-lookup-target","True","1","False","False","/sites/GuidedAILabs/Lists/CRM  Engagements/Active Engagements.aspx","Present"
"CRM - Touchpoints","lookup-only-reference","True","1","False","","","Present"
"CRM - Lifecycle Checklist","lookup-only-reference","True","1","False","","","Present"
