"Group","Link","Kind","ExpectedUrl","Status","ActualUrl"
"Start Here","Operating Model","Page","/sites/GuidedAILabs/SitePages/Operating-Model.aspx","Present","/sites/GuidedAILabs/SitePages/Operating-Model.aspx"
"Client Delivery","Client Discovery","Page","/sites/GuidedAILabs/SitePages/Client-Discovery.aspx","Present","/sites/GuidedAILabs/SitePages/Client-Discovery.aspx"
"Client Delivery","Handoff Packets","Library","/sites/GuidedAILabs/Client Handoff Packets","Present","/sites/GuidedAILabs/Client Handoff Packets"
"Methods and IP","Templates","LibraryFolder","/sites/GuidedAILabs/Published Methods/Templates","Present","/sites/GuidedAILabs/Published Methods/Templates"
"Methods and IP","Playbooks","LibraryFolder","/sites/GuidedAILabs/Published Methods/Playbooks","Present","/sites/GuidedAILabs/Published Methods/Playbooks"
"Methods and IP","Training Paths","LibraryFolder","/sites/GuidedAILabs/Published Methods/Training%20Paths","Present","/sites/GuidedAILabs/Published Methods/Training Paths"
"Methods and IP","Reusable Assets","LibraryFolder","/sites/GuidedAILabs/Published Methods/Reusable%20Assets","Present","/sites/GuidedAILabs/Published Methods/Reusable Assets"
"AI and Automation","Agent Setup","Page","/sites/GuidedAILabs/SitePages/Agent-Setup.aspx","Present","/sites/GuidedAILabs/SitePages/Agent-Setup.aspx"
"AI and Automation","Automation Backlog","List","/sites/GuidedAILabs/Lists/Automation Backlog/Backlog.aspx","Present","/sites/GuidedAILabs/Lists/Automation Backlog/Backlog.aspx"
"AI and Automation","Tool Permission Review","List","/sites/GuidedAILabs/Lists/Tool Permission Review/Needs Review.aspx","Present","/sites/GuidedAILabs/Lists/Tool Permission Review/Needs Review.aspx"
"Records and Evidence","Readiness Evidence","Library","/sites/GuidedAILabs/Readiness Evidence","Present","/sites/GuidedAILabs/Readiness Evidence"
"Governance","Access Model","Page","/sites/GuidedAILabs/SitePages/Access-Model.aspx","Present","/sites/GuidedAILabs/SitePages/Access-Model.aspx"
"Governance","External Sharing Rules","Page","/sites/GuidedAILabs/SitePages/External-Sharing-Rules.aspx","Present","/sites/GuidedAILabs/SitePages/External-Sharing-Rules.aspx"
"Governance","App Grants","Page","/sites/GuidedAILabs/SitePages/App-Grants.aspx","Present","/sites/GuidedAILabs/SitePages/App-Grants.aspx"
"Governance","Exceptions","List","/sites/GuidedAILabs/Lists/Exception Register/Open Exceptions.aspx","Present","/sites/GuidedAILabs/Lists/Exception Register/Open Exceptions.aspx"
"Archive","Completed Work","LibraryFolder","/sites/GuidedAILabs/Archive/Completed%20Work","Present","/sites/GuidedAILabs/Archive/Completed Work"
"Archive","Historical Evidence","LibraryFolder","/sites/GuidedAILabs/Archive/Historical%20Evidence","Present","/sites/GuidedAILabs/Archive/Historical Evidence"
