"List","Field","InternalName","ExpectedType","Exists","ActualType","Indexed","Status"
"CRM - Organizations","NextActionDueDate","NextActionDueDate","DateTime","True","DateTime","True","Present"
"CRM - Organizations","Priority","Priority","Choice","True","Choice","True","Present"
"CRM - Organizations","OperationalHealth","OperationalHealth","Choice","True","Choice","True","Present"
"CRM - Organizations","ReviewCadence","ReviewCadence","Choice","True","Choice","False","Present"
"CRM - Organizations","AccountTier","AccountTier","Choice","True","Choice","True","Present"
"CRM - Organizations","BackupOwner","BackupOwner","User","True","User","False","Present"
"CRM - Contacts","NextActionDueDate","NextActionDueDate","DateTime","True","DateTime","True","Present"
"CRM - Contacts","Priority","Priority","Choice","True","Choice","True","Present"
"CRM - Contacts","LastContacted","LastContacted","DateTime","True","DateTime","False","Present"
"CRM - Contacts","ContactBoundary","ContactBoundary","Choice","True","Choice","True","Present"
"CRM - Contacts","BackupOwner","BackupOwner","User","True","User","False","Present"
"CRM - Engagements","NextActionDueDate","NextActionDueDate","DateTime","True","DateTime","True","Present"
"CRM - Engagements","Priority","Priority","Choice","True","Choice","True","Present"
"CRM - Engagements","OperationalHealth","OperationalHealth","Choice","True","Choice","True","Present"
"CRM - Engagements","DecisionStatus","DecisionStatus","Choice","True","Choice","True","Present"
"CRM - Engagements","DecisionDueDate","DecisionDueDate","DateTime","True","DateTime","True","Present"
"CRM - Engagements","EstimatedValue","EstimatedValue","Currency","True","Currency","False","Present"
"CRM - Engagements","ProbabilityPercent","ProbabilityPercent","Number","True","Number","False","Present"
"CRM - Engagements","NextMilestone","NextMilestone","Text","True","Text","False","Present"
"CRM - Engagements","TargetGoLiveDate","TargetGoLiveDate","DateTime","True","DateTime","False","Present"
"CRM - Engagements","HandoffStatus","HandoffStatus","Choice","True","Choice","True","Present"
"CRM - Engagements","BackupOwner","BackupOwner","User","True","User","False","Present"
"CRM - Stakeholder Map","NextActionDueDate","NextActionDueDate","DateTime","True","DateTime","True","Present"
"CRM - Stakeholder Map","Priority","Priority","Choice","True","Choice","True","Present"
"CRM - Stakeholder Map","Sentiment","Sentiment","Choice","True","Choice","True","Present"
"CRM - Stakeholder Map","RelationshipRisk","RelationshipRisk","Choice","True","Choice","True","Present"
"CRM - Touchpoints","Priority","Priority","Choice","True","Choice","True","Present"
"CRM - Touchpoints","TouchpointOutcome","TouchpointOutcome","Choice","True","Choice","True","Present"
"CRM - Touchpoints","NextTouchpointType","NextTouchpointType","Choice","True","Choice","False","Present"
"CRM - Lifecycle Checklist","Priority","Priority","Choice","True","Choice","True","Present"
"CRM - Lifecycle Checklist","Workstream","Workstream","Choice","True","Choice","True","Present"
"CRM - Lifecycle Checklist","RequiredForGoLive","RequiredForGoLive","Boolean","True","Boolean","True","Present"
"CRM - Lifecycle Checklist","SortOrder","SortOrder","Number","True","Number","False","Present"
