"List","View","Exists","HasQuery","RowLimit","Status"
"CRM - Organizations","Relationship Review Queue","True","True","100","Present"
"CRM - Organizations","Strategic Relationships","True","True","100","Present"
"CRM - Contacts","Contact Follow-up Queue","True","True","100","Present"
"CRM - Contacts","Key People","True","True","100","Present"
"CRM - Engagements","Daily CRM Queue","True","True","100","Present"
"CRM - Engagements","Pipeline by Stage","True","True","100","Present"
"CRM - Engagements","Delivery Control","True","True","100","Present"
"CRM - Engagements","Decision Deadlines","True","True","100","Present"
"CRM - Stakeholder Map","Stakeholder Attention","True","True","100","Present"
"CRM - Touchpoints","Follow-ups Due","True","True","100","Present"
"CRM - Touchpoints","Relationship History","True","True","100","Present"
"CRM - Lifecycle Checklist","Go-Live / Offramp Blockers","True","True","100","Present"
"CRM - Lifecycle Checklist","Checklist Due","True","True","100","Present"
