"Area","Item","Expected","Actual","Status"
"Form formatter","Guided AI Labs - Intake Register","Item","ContentTypePresent","Present"
"Friendly field label","Title","Intake summary","Intake summary","Present"
"Friendly field label","RequesterName","Person name","Person name","Present"
"Friendly field label","RequesterEmail","Email","Email","Present"
"Friendly field label","IntakeClass","Signal type","Signal type","Present"
"Friendly field label","NextAction","What should happen next?","What should happen next?","Present"
"Friendly field label","AgentNotes","Context / notes","Context / notes","Present"
"Friendly field label","HumanApprovalRequired","Needs Adam review","Needs Adam review","Present"
"Manual intake blocker","ReceivedDate","Required=False","Required=False","Present"
"Manual intake blocker","ItemOwner","Required=False","Required=False","Present"
"Read-only system field","SourceMailbox","readonly","","Missing"
"Read-only system field","SourceMessageId","readonly","","Missing"
"Read-only system field","ReceivedDate","readonly","","Missing"
"Read-only system field","IntakeStatus","readonly","","Missing"
"Read-only system field","ItemOwner","readonly","","Missing"
"Read-only system field","DurableHome","readonly","","Missing"
"Read-only system field","PlannerTaskUrl","readonly","","Missing"
"Read-only system field","CentralOSLink","readonly","","Missing"
"Read-only system field","GraphNodeId","readonly","","Missing"
"Read-only system field","AgentConfidence","readonly","","Missing"
