"List","Field","InternalName","TargetList","Exists","Type","Indexed","Status"
"CRM - Action Queue","Organization","OrganizationLookup","CRM - Organizations","True","Lookup","True","Present"
"CRM - Action Queue","Engagement","EngagementLookup","CRM - Engagements","True","Lookup","True","Present"
"CRM - Action Queue","Contact","ContactLookup","CRM - Contacts","True","Lookup","True","Present"
"CRM - Action Queue","Touchpoint","TouchpointLookup","CRM - Touchpoints","True","Lookup","False","Present"
"CRM - Qualification","Organization","OrganizationLookup","CRM - Organizations","True","Lookup","True","Present"
"CRM - Qualification","Contact","ContactLookup","CRM - Contacts","True","Lookup","False","Present"
"CRM - Qualification","Engagement","EngagementLookup","CRM - Engagements","True","Lookup","False","Present"
"CRM - Meeting Notes","Organization","OrganizationLookup","CRM - Organizations","True","Lookup","True","Present"
"CRM - Meeting Notes","Engagement","EngagementLookup","CRM - Engagements","True","Lookup","True","Present"
"CRM - Meeting Notes","Primary Contact","PrimaryContactLookup","CRM - Contacts","True","Lookup","False","Present"
"CRM - Artifacts","Organization","OrganizationLookup","CRM - Organizations","True","Lookup","True","Present"
"CRM - Artifacts","Engagement","EngagementLookup","CRM - Engagements","True","Lookup","True","Present"
"CRM - Health Reviews","Organization","OrganizationLookup","CRM - Organizations","True","Lookup","True","Present"
"CRM - Health Reviews","Engagement","EngagementLookup","CRM - Engagements","True","Lookup","True","Present"
"CRM - Closeout Invoice Queue","Organization","OrganizationLookup","CRM - Organizations","False","","","Missing"
"CRM - Closeout Invoice Queue","Engagement","EngagementLookup","CRM - Engagements","False","","","Missing"
